Ref,id,Gender,Satisfied,Age,Age Band,Type of Travel,Class,Flight Distance,Destination,Continent,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
13,83502,Male,Y,33,25 to 34,Personal Travel,Eco,4760,India,Asia,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0
14,95789,Female,Y,26,25 to 34,Personal Travel,Eco,4760,India,Asia,3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35
15,100580,Male,N,13,Under 18,Business travel,Eco,4760,India,Asia,2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0
16,71142,Female,Y,26,25 to 34,Business travel,Business,4760,India,Asia,3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51
17,127461,Male,Y,41,35 to 44,Business travel,Business,4760,India,Asia,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10
18,70354,Female,Y,45,45 to 54,Business travel,Business,4760,India,Asia,4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5
19,66246,Male,Y,38,35 to 44,Personal Travel,Eco,4760,India,Asia,2,3,3,2,5,3,5,5,1,2,4,3,2,5,17,18
20,39076,Male,Y,9,Under 18,Business travel,Eco,1175,Vatican City,Europe,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4
21,22434,Female,Y,17,Under 18,Personal Travel,Eco,4760,India,Asia,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0
22,43510,Female,Y,43,35 to 44,Personal Travel,Eco,4760,India,Asia,3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29
23,114090,Female,Y,58,55 to 64,Personal Travel,Eco,4760,India,Asia,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0
24,105420,Female,N,23,18 to 24,Business travel,Eco,4760,India,Asia,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44
25,102956,Male,Y,57,55 to 64,Personal Travel,Eco,4760,India,Asia,4,4,4,1,5,4,5,5,3,2,4,4,5,5,27,28
26,18510,Female,Y,33,25 to 34,Business travel,Business,4760,India,Asia,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0
27,14925,Female,Y,49,45 to 54,Business travel,Eco Plus,4760,India,Asia,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8
28,118319,Female,Y,36,35 to 44,Business travel,Business,4760,India,Asia,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12
29,75460,Male,Y,22,18 to 24,Personal Travel,Eco,4760,India,Asia,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0
30,48492,Female,Y,31,25 to 34,Business travel,Business,4760,India,Asia,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0
31,27809,Female,N,15,Under 18,Business travel,Eco,4760,India,Asia,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0
32,70594,Female,Y,35,35 to 44,Business travel,Business,2610,Egypt,Africa,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120
33,30089,Female,Y,67,65 or over,Personal Travel,Eco,4760,India,Asia,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24
34,58779,Male,N,37,35 to 44,Business travel,Business,1180,Italy,Europe,0,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0
35,79659,Female,Y,40,35 to 44,Business travel,Eco,4760,India,Asia,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1
36,110293,Female,N,34,25 to 34,Business travel,Business,4760,India,Asia,0,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0
37,48014,Male,Y,40,35 to 44,Personal Travel,Eco Plus,4760,India,Asia,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20
38,96517,Female,Y,47,45 to 54,Personal Travel,Eco,4760,India,Asia,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31
39,64685,Male,N,41,35 to 44,Business travel,Business,4760,India,Asia,0,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0
40,64138,Male,Y,39,35 to 44,Business travel,Business,4760,India,Asia,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0
41,60373,Female,N,25,25 to 34,Business travel,Business,1450,United Kingdom,Europe,0,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23
42,14849,Male,Y,41,35 to 44,Business travel,Business,4760,India,Asia,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0
43,28319,Female,Y,38,35 to 44,Business travel,Business,4760,India,Asia,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0
44,103012,Female,Y,50,45 to 54,Business travel,Business,4760,India,Asia,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15
45,124114,Male,Y,29,25 to 34,Business travel,Business,4760,India,Asia,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0
46,107794,Female,Y,22,18 to 24,Personal Travel,Business,4760,India,Asia,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0
47,81983,Female,Y,13,Under 18,Business travel,Business,4760,India,Asia,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0
48,53164,Male,Y,54,45 to 54,Business travel,Business,4760,India,Asia,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0
49,82042,Male,Y,21,18 to 24,Personal Travel,Eco,4760,India,Asia,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0
50,72127,Male,Y,28,25 to 34,Business travel,Eco,4760,India,Asia,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8
51,113046,Male,Y,27,25 to 34,Business travel,Business,4760,India,Asia,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1
52,1050,Female,Y,69,65 or over,Business travel,Eco,4760,India,Asia,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0
53,54886,Male,Y,35,35 to 44,Personal Travel,Eco,775,Switzerland,Europe,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0
54,125918,Female,Y,60,55 to 64,Personal Travel,Eco,4760,India,Asia,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10
55,7467,Female,Y,45,45 to 54,Business travel,Business,4760,India,Asia,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48
56,78972,Female,Y,57,55 to 64,Business travel,Business,4760,India,Asia,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5
57,126625,Male,Y,40,35 to 44,Business travel,Business,4760,India,Asia,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0
58,114501,Female,N,38,35 to 44,Business travel,Business,4760,India,Asia,0,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26
59,114813,Male,N,23,18 to 24,Business travel,Eco,4760,India,Asia,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0
60,32167,Male,N,39,35 to 44,Business travel,Business,4760,India,Asia,0,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0
61,68001,Female,Y,52,45 to 54,Business travel,Business,4760,India,Asia,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0
62,117052,Male,N,25,25 to 34,Business travel,Eco,4760,India,Asia,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1
63,8661,Female,Y,48,45 to 54,Business travel,Business,4760,India,Asia,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0
64,57165,Female,Y,59,55 to 64,Business travel,Business,4760,India,Asia,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15
65,78610,Male,Y,25,25 to 34,Business travel,Business,4760,India,Asia,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0
66,51058,Male,Y,38,35 to 44,Personal Travel,Eco,4760,India,Asia,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0
67,92027,Male,Y,46,45 to 54,Business travel,Business,4760,India,Asia,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0
68,115534,Male,Y,50,45 to 54,Business travel,Eco,4760,India,Asia,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12
69,9261,Female,Y,38,35 to 44,Business travel,Eco Plus,1180,Italy,Europe,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0
70,61033,Female,Y,53,45 to 54,Business travel,Business,4760,India,Asia,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0
71,75930,Male,Y,30,25 to 34,Business travel,Eco Plus,4760,India,Asia,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49
72,112142,Male,N,39,35 to 44,Business travel,Business,4760,India,Asia,0,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2
73,24518,Male,Y,66,65 or over,Personal Travel,Eco Plus,4760,India,Asia,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37
74,112524,Male,Y,45,45 to 54,Personal Travel,Eco,4760,India,Asia,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0
75,101639,Female,N,25,25 to 34,Business travel,Business,4760,India,Asia,0,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1
76,85018,Male,Y,52,45 to 54,Business travel,Business,4760,India,Asia,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6
77,106922,Male,Y,64,55 to 64,Personal Travel,Eco,4760,India,Asia,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5
78,32564,Female,N,50,45 to 54,Business travel,Eco,4760,India,Asia,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0
79,92242,Female,N,41,35 to 44,Business travel,Business,1670,Svalbard,Europe,0,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0
80,73302,Male,Y,26,25 to 34,Business travel,Business,2230,Cyprus,Europe,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48
81,42267,Female,N,25,25 to 34,Business travel,Eco,4760,India,Asia,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0
82,121358,Female,N,44,35 to 44,Business travel,Business,1670,Svalbard,Europe,0,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8
83,65655,Female,N,21,18 to 24,Business travel,Business,4760,India,Asia,0,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0
84,88062,Male,Y,47,45 to 54,Business travel,Business,4760,India,Asia,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50
85,91330,Male,Y,31,25 to 34,Business travel,Eco Plus,4760,India,Asia,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3
86,22031,Female,Y,57,55 to 64,Personal Travel,Eco Plus,4760,India,Asia,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0
87,27921,Male,Y,44,35 to 44,Personal Travel,Eco,4760,India,Asia,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0
88,51947,Male,Y,45,45 to 54,Business travel,Business,4760,India,Asia,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0
89,40017,Male,N,13,Under 18,Business travel,Eco,4760,India,Asia,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0
90,76392,Male,Y,60,55 to 64,Personal Travel,Eco,4760,India,Asia,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0
91,118486,Female,N,41,35 to 44,Business travel,Business,4760,India,Asia,0,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19
92,6012,Male,Y,30,25 to 34,Business travel,Business,4760,India,Asia,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72
93,30183,Female,Y,51,45 to 54,Business travel,Eco Plus,4760,India,Asia,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0
94,41652,Female,Y,61,55 to 64,Business travel,Eco,4760,India,Asia,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11
95,15138,Female,Y,32,25 to 34,Business travel,Eco,4760,India,Asia,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34
96,123589,Female,Y,39,35 to 44,Personal Travel,Eco,4760,India,Asia,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18
97,114534,Male,Y,19,18 to 24,Personal Travel,Business,4760,India,Asia,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0
98,93076,Female,Y,15,Under 18,Personal Travel,Eco Plus,4760,India,Asia,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62
99,96963,Female,N,42,35 to 44,Business travel,Business,4760,India,Asia,0,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27
100,85494,Female,Y,16,Under 18,Personal Travel,Eco,4760,India,Asia,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52
101,72989,Male,Y,19,18 to 24,Business travel,Business,4760,India,Asia,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0
102,42357,Female,Y,29,25 to 34,Personal Travel,Eco,4760,India,Asia,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0
103,23040,Female,N,27,25 to 34,Business travel,Eco Plus,1080,Croatia,Europe,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0
104,65420,Male,N,22,18 to 24,Business travel,Business,4760,India,Asia,0,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0
105,65045,Female,Y,15,Under 18,Personal Travel,Eco,4760,India,Asia,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0
106,37373,Male,N,11,Under 18,Business travel,Eco,4760,India,Asia,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0
107,44405,Female,Y,34,25 to 34,Personal Travel,Eco,4760,India,Asia,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23
108,16653,Female,N,26,25 to 34,Business travel,Eco,4760,India,Asia,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0
109,71655,Female,Y,26,25 to 34,Personal Travel,Eco,4760,India,Asia,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0
110,77591,Male,Y,53,45 to 54,Business travel,Business,4760,India,Asia,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3
111,4585,Male,Y,36,35 to 44,Business travel,Business,4760,India,Asia,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13
112,108347,Male,Y,32,25 to 34,Business travel,Business,4760,India,Asia,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0
113,23400,Male,Y,20,18 to 24,Personal Travel,Eco,4760,India,Asia,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82
114,31010,Female,Y,35,35 to 44,Business travel,Business,4760,India,Asia,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0
115,57513,Male,Y,15,Under 18,Personal Travel,Eco,235,Republic of Ireland,Europe,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10
116,20979,Male,Y,52,45 to 54,Personal Travel,Eco,4760,India,Asia,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0
117,95841,Male,Y,45,45 to 54,Business travel,Business,4760,India,Asia,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0
118,114684,Female,N,24,18 to 24,Business travel,Eco,4760,India,Asia,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23
119,111667,Female,Y,46,45 to 54,Business travel,Business,4760,India,Asia,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0
120,20101,Male,N,26,25 to 34,Business travel,Eco,4760,India,Asia,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9
121,63212,Male,Y,28,25 to 34,Business travel,Eco,4760,India,Asia,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0
122,8256,Male,Y,11,Under 18,Personal Travel,Eco,4760,India,Asia,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0
123,56161,Male,Y,45,45 to 54,Business travel,Business,1400,Kosovo,Europe,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9
124,121196,Male,Y,62,55 to 64,Personal Travel,Eco,2520,California,North America,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30
125,23788,Female,Y,34,25 to 34,Business travel,Business,4760,India,Asia,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0
126,129579,Male,Y,51,45 to 54,Business travel,Business,4760,India,Asia,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8
127,127516,Female,Y,58,55 to 64,Business travel,Eco Plus,4760,India,Asia,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16
128,18012,Male,Y,22,18 to 24,Personal Travel,Eco,4760,India,Asia,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0
129,45561,Male,Y,8,Under 18,Business travel,Eco,4760,India,Asia,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0
130,5228,Male,N,26,25 to 34,Business travel,Business,4760,India,Asia,0,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11
131,18311,Female,Y,22,18 to 24,Personal Travel,Eco,4760,India,Asia,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3
132,59891,Female,Y,21,18 to 24,Business travel,Business,4760,India,Asia,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0
133,60651,Male,Y,31,25 to 34,Business travel,Business,1620,Greece,Europe,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0
134,51013,Female,Y,44,35 to 44,Personal Travel,Eco,4760,India,Asia,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0
135,91746,Male,Y,27,25 to 34,Business travel,Business,4760,India,Asia,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0
136,4233,Female,Y,47,45 to 54,Business travel,Business,1020,Slovenia,Europe,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0
137,14187,Male,Y,24,18 to 24,Business travel,Business,4760,India,Asia,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0
138,19669,Male,Y,67,65 or over,Business travel,Business,4760,India,Asia,1,1,1,1,1,3,0,1,1,1,1,1,1,1,0,0
139,31147,Male,Y,32,25 to 34,Business travel,Business,4760,India,Asia,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0
140,128842,Female,Y,58,55 to 64,Personal Travel,Eco,4760,India,Asia,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10
141,27562,Male,Y,12,Under 18,Personal Travel,Eco,4760,India,Asia,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0
142,775,Female,Y,56,55 to 64,Business travel,Business,4760,India,Asia,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0
143,14070,Female,Y,58,55 to 64,Personal Travel,Business,4760,India,Asia,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0
144,106007,Male,N,24,18 to 24,Business travel,Eco,4760,India,Asia,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6
145,116004,Male,Y,68,65 or over,Personal Travel,Eco,4760,India,Asia,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6
146,68886,Male,Y,46,45 to 54,Business travel,Business,4760,India,Asia,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7
147,72413,Male,Y,43,35 to 44,Business travel,Business,4760,India,Asia,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7
148,73604,Female,Y,55,55 to 64,Business travel,Business,4760,India,Asia,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0
149,48415,Female,Y,54,45 to 54,Personal Travel,Business,845,Iceland,Europe,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0
150,105708,Female,Y,42,35 to 44,Business travel,Business,4760,India,Asia,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10
151,65579,Female,Y,47,45 to 54,Business travel,Business,4760,India,Asia,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15
152,73058,Female,N,29,25 to 34,Business travel,Business,1035,Spain,Europe,0,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0
153,65585,Female,Y,36,35 to 44,Business travel,Eco,235,Republic of Ireland,Europe,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0
154,8346,Female,Y,50,45 to 54,Business travel,Business,4760,India,Asia,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0
155,79678,Female,Y,31,25 to 34,Personal Travel,Eco,4760,India,Asia,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27
156,112483,Male,Y,13,Under 18,Personal Travel,Eco,4760,India,Asia,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122
157,31698,Male,N,24,18 to 24,Business travel,Eco,4760,India,Asia,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0
158,74030,Female,Y,60,55 to 64,Business travel,Business,1070,Lithuania,Europe,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0
159,124931,Female,Y,42,35 to 44,Personal Travel,Eco,4760,India,Asia,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3
160,73924,Female,Y,57,55 to 64,Business travel,Business,4760,India,Asia,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0
161,76073,Female,Y,42,35 to 44,Business travel,Business,4760,India,Asia,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11
162,104623,Male,N,20,18 to 24,Business travel,Eco,4760,India,Asia,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0
163,58523,Female,Y,51,45 to 54,Personal Travel,Eco,4760,India,Asia,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0
164,121929,Male,Y,45,45 to 54,Business travel,Business,4760,India,Asia,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0
165,30704,Female,Y,26,25 to 34,Business travel,Eco Plus,680,France,Europe,5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27
166,58896,Male,N,26,25 to 34,Business travel,Eco,4760,India,Asia,2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30
167,26920,Female,Y,24,18 to 24,Personal Travel,Eco,4760,India,Asia,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2
168,13884,Male,Y,49,45 to 54,Business travel,Eco,4760,India,Asia,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179
169,87681,Female,Y,17,Under 18,Business travel,Eco,4760,India,Asia,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15
170,81719,Female,Y,39,35 to 44,Business travel,Business,4760,India,Asia,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0
171,85554,Female,Y,49,45 to 54,Business travel,Business,4760,India,Asia,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0
172,12645,Female,Y,48,45 to 54,Personal Travel,Eco,845,Iceland,Europe,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1
173,101275,Male,Y,52,45 to 54,Business travel,Business,4760,India,Asia,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20
174,95982,Female,Y,25,25 to 34,Business travel,Business,4760,India,Asia,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0
175,74610,Female,Y,16,Under 18,Business travel,Business,4760,India,Asia,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0
176,76449,Male,Y,58,55 to 64,Business travel,Business,4760,India,Asia,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0
177,14030,Male,N,8,Under 18,Business travel,Business,4760,India,Asia,0,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7
178,69692,Male,Y,42,35 to 44,Business travel,Business,4760,India,Asia,3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125
179,47648,Female,Y,52,45 to 54,Business travel,Business,5940,Hong Kong,Asia,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0
180,52168,Female,Y,47,45 to 54,Business travel,Eco,4760,India,Asia,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0
181,60251,Female,Y,69,65 or over,Personal Travel,Eco,4760,India,Asia,1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26
182,35881,Female,Y,47,45 to 54,Personal Travel,Eco,4760,India,Asia,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0
183,28852,Female,Y,41,35 to 44,Business travel,Business,4760,India,Asia,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0
184,55341,Female,Y,40,35 to 44,Personal Travel,Eco,4760,India,Asia,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9
185,84553,Female,Y,56,55 to 64,Personal Travel,Eco,4760,India,Asia,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0
186,100249,Male,Y,41,35 to 44,Business travel,Business,4760,India,Asia,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0
187,2463,Female,Y,40,35 to 44,Business travel,Eco,775,Switzerland,Europe,3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26
188,22924,Male,Y,12,Under 18,Personal Travel,Business,4760,India,Asia,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0
189,25542,Male,Y,59,55 to 64,Personal Travel,Eco,4760,India,Asia,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0
190,115972,Female,Y,21,18 to 24,Personal Travel,Eco,4760,India,Asia,1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19
191,2980,Male,Y,12,Under 18,Personal Travel,Eco,4760,India,Asia,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0
192,125097,Male,Y,31,25 to 34,Business travel,Eco,4760,India,Asia,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0
193,46701,Female,Y,37,35 to 44,Personal Travel,Eco,4760,India,Asia,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4
194,108006,Female,Y,38,35 to 44,Personal Travel,Eco,4760,India,Asia,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0
195,19578,Male,Y,45,45 to 54,Personal Travel,Eco,1620,Greece,Europe,2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0
